"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00A18B)", ,"E00A18B[00100]"
"Line(00100)", ,"334869"
"Line(00200)", ,"104001859"
"Line(00300)", ,"60411003"
"Line(00400)", ,"5961802"
"Line(00500)", ,"1"
"Line(00600)", ,"94641692"
"Line(00700)", ,"70"
"Line(00800)", ,"28268887"
"Line(00900)", ,"2685436"
"Line(01100)", ,"334869"
"Line(01400)", ,"1201153"
"Line(01800)", ,"1201153"
"Line(01900)", ,"866284"
"Line(02100)", ,"334869"
"Line(02200)", ,"2383383"
"Line(02400)", ,"311352684"
"Line(02500)", ,"10527"
"Line(02600)", ,"39671192"
"Line(02700)", ,"274389217"
"Line(02800)", ,"2267151"
"Line(03000)", ,"276656368"
"Line(03100)", ,"23094"
"Line(03200)", ,"276633274"
"Line(03400)", ,"2886926"
"Line(03500)", ,"1876502"
"Line(03600)", ,"682165"
"Line(03700)", ,"278509776"
"Line(04000)", ,"278509776"
"Line(04001)", ,"5570196"
"Line(04100)", ,"296303604"
"Line(04300)", ,"-23364024"
"Line(04400)", ,"24290149"
