"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30A181)", ,"E30A181[00100]"
"Line(00100)", ,"228500119"
"Line(00400)", ,"228500119"
"Line(00500)", ,"100687"
"Line(00600)", ,"228399432"
"Line(00700)", ,"5508352"
"Line(00800)", ,"222891080"
"Line(00900)", ,"1886576"
"Line(01000)", ,"221004504"
"Line(01100)", ,"968588"
"Line(01200)", ,"629582"
"Line(01300)", ,"372527"
"Line(01400)", ,"221634086"
"Line(01500)", ,"1466512"
"Line(01800)", ,"223100598"
"Line(01801)", ,"4462012"
"Line(01900)", ,"210264368"
"Line(02100)", ,"8374218"
