"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30A197)","E30A197[00000]","E30A197[00100]","E30A197[00200]"
"Line(00100)", ,"18052190"
"Line(00200)", , ,"19072291"
"Line(00500)", ,"72621"
"Line(00600)", , ,"17859"
"Line(00700)", ,"17979569","19054432"
"Line(00900)", ,"32266806","34118861"
"Line(01100)", ,"208"
"Line(01200)", ,"32267014","34118861"
"Line(01600)", ,"32267014","34118861"
"Line(01700)", ,"14214824","15046570"
"Line(01900)", ,"84824","183755"
"Line(02100)", ,"18052190","19072291"
"Line(02900)", ,"18052190","19072291"
"Line(03100)", ,"18064393","19238187"
"Line(03600)", ,"18064393","19238187"
"Line(03700)","TO CALCULATE MEDICAID SETTLEMENT","53931","-183759"
"Line(03800)", ,"18118324","19054428"
"Line(04000)", ,"18118324","19054428"
"Line(04100)", ,"18827899","21797598"
