"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)", ,"G000000[00100]","G000000[00200]","G000000[00300]","G000000[00400]"
"Line(00100)", ,"-232817631","30564281", ,"878627383"
"Line(00400)", ,"539130313","207305749", ,"1461030"
"Line(00500)", ,"19177240","71496877", ,"9830960"
"Line(00700)", ,"43161308"
"Line(00900)", ,"74585587"
"Line(01100)", ,"443236817","309366907", ,"889919373"
"Line(01200)", , , , ,"213833842"
"Line(01300)", , , , ,"446849575"
"Line(01500)", , , , ,"2147483647"
"Line(01600)", , , , ,"-1494177337"
"Line(01700)", , , , ,"12689929"
"Line(01800)", , , , ,"-8575565"
"Line(01900)", , , , ,"907178657"
"Line(02000)", , , , ,"-597127724"
"Line(02100)", , , , ,"7137529"
"Line(02200)", , , , ,"-5665910"
"Line(02300)", , , , ,"399381753"
"Line(02400)", , , , ,"-283426905"
"Line(02900)", , , , ,"2053830"
"Line(03000)", , , , ,"2147483647"
"Line(03100)", ,"1514941590","274185830","1239303332","432420744"
"Line(03400)", ,"7983616"
"Line(03500)", ,"1522925206","274185830","1239303332","432420744"
"Line(03600)", ,"1966162023","583552737","1239303332","2147483647"
"Line(03700)", ,"170343019", , ,"34575461"
"Line(03800)", ,"193656355","21581658", ,"2481439"
"Line(04300)", ,"19492316","718713"
"Line(04400)", ,"183502953","213725556", ,"4068194"
"Line(04500)", ,"566994643","236025927", ,"41125094"
"Line(04900)", ,"22338566","2961234","1332284","432629882"
"Line(05000)", ,"22338566","2961234","1332284","432629882"
"Line(05100)", ,"589333209","238987161","1332284","473754976"
"Line(05200)", ,"1376828814"
"Line(05300)", , ,"344565576"
"Line(05400)", , , ,"968997063"
"Line(05500)", , , ,"268973985"
"Line(05700)", , , , ,"2147483647"
"Line(05800)", , , , ,"848585141"
"Line(05900)", ,"1376828814","344565576","1237971048","2147483647"
