"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30B180)", ,"D30B180[00100]","D30B180[00200]","D30B180[00300]"
"Line(04000)", , ,"7300727"
"Line(05000)", ,"0","42490","20691"
"Line(05100)", ,"1","202","250"
"Line(05200)", ,"0","31","10"
"Line(05300)", ,"1","10362","9196"
"Line(05400)", ,"0","32660","10458"
"Line(05500)", ,"0"
"Line(05700)", ,"0","40538","4021"
"Line(05800)", ,"0","12517","2263"
"Line(06000)", ,"0","147877","43975"
"Line(06300)", ,"0","17453","6918"
"Line(06500)", ,"0","21525","4904"
"Line(06600)", ,"0","9544","2815"
"Line(06700)", ,"1","3810","2398"
"Line(06900)", ,"0","10118","925"
"Line(07000)", ,"0","1218","350"
"Line(07200)", ,"1"
"Line(07300)", ,"0","370683","171813"
"Line(07400)", ,"0","11618","1612"
"Line(07500)", ,"0","286","125"
"Line(07601)", ,"0","1621","605"
"Line(07603)", ,"0","5066","1255"
"Line(07605)", ,"0","2799","1128"
"Line(07606)", ,"1","99","56"
"Line(07608)", ,"0","2076","802"
"Line(07614)", ,"0","4709","931"
"Line(07618)", ,"0","134","46"
"Line(07631)", ,"0","129","45"
"Line(07650)", ,"0","249","122"
"Line(07651)", ,"0","246","74"
"Line(07654)", ,"1","66340","57091"
"Line(07655)", ,"0","2417","916"
"Line(07656)", ,"0"
"Line(07658)", ,"1"
"Line(07659)", ,"0"
"Line(07698)", ,"0","70","32"
"Line(07699)", ,"0","18","2"
"Line(09000)", ,"1","1825","1149"
"Line(09001)", ,"1"
"Line(09020)", ,"1","3898","2309"
"Line(09025)", ,"1"
"Line(09026)", ,"20"
"Line(09028)", ,"1","2708","1692"
"Line(09029)", ,"1","637","781"
"Line(09040)", ,"0","794","188"
"Line(09100)", ,"0","654188","187987"
"Line(09101)", ,"0","42636","19443"
"Line(09202)", ,"1"
"Line(20000)", , ,"1525591","559378"
