"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30C183)", ,"E30C183[00100]"
"Line(00100)", ,"944039"
"Line(00200)", ,"0"
"Line(00300)", ,"104128"
"Line(00400)", ,"101466"
"Line(00500)", ,"1"
"Line(00700)", ,"2"
"Line(00900)", ,"1"
"Line(01000)", ,"16"
"Line(01100)", ,"0"
"Line(01200)", ,"29932"
"Line(01300)", ,"1647076"
"Line(01700)", ,"1647076"
"Line(01900)", ,"1647076"
"Line(02000)", ,"8288"
"Line(02100)", ,"1638788"
"Line(02200)", ,"28416"
"Line(02300)", ,"1610372"
"Line(02700)", ,"1610372"
"Line(02900)", ,"1714"
"Line(03200)", ,"1612086"
"Line(03201)", ,"24342"
"Line(03300)", ,"1493321"
"Line(03500)", ,"94423"
