"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)","G000000[00000]","G000000[00100]","G000000[00200]","G000000[00300]","G000000[00400]","G000000[00500]", ,"G000000[00700]"
"Line(00001)", , ,"Specific"
"Line(00002)", ,"General","Purpose","Endowment","Plant"
"Line(00003)","Assets","Fund","Fund","Fund","Fund"
"Line(00004)","(Omit cents)","1","2","3","4"
"Line(00005)","CURRENT ASSETS"
"Line(00100)","Cash on hand and in banks","406676999","-35604790", , ,"1"
"Line(00200)","Temporary investments", ,"89328654", , ,"2"
"Line(00300)","Notes receivable", , , , ,"3"
"Line(00400)","Accounts receivable","160834941", , , ,"4"
"Line(00500)","Other receivables","24357473", , , ,"5"
"Line(00600)","Allowances for uncollectible notes and", , , , ,"6"
"Line(00601)","accounts receivable"
"Line(00700)","Inventory","25486156", , , ,"7"
"Line(00800)","Prepaid expenses", , , , ,"8"
"Line(00900)","Other current assets","-26722942", , , ,"9"
"Line(01000)","Due from other funds", , , , ,"10"
"Line(01100)","Total current assets (sum of lines 1-10)","590632627","53723864", , ,"11"
"Line(01101)","FIXED ASSETS"
"Line(01200)","Land", , , , ,"12"
"Line(01300)","Land improvements", , , , ,"13"
"Line(01400)","Accumulated depreciation", , , , ,"14"
"Line(01500)","Buildings","215327642", , , ,"15"
"Line(01600)","Accumulated depreciation","-111512176", , , ,"16"
"Line(01700)","Leasehold improvements", , , , ,"17"
"Line(01800)","Accumulated depreciation", , , , ,"18"
"Line(01900)","Fixed equipment","393050877", , , ,"19"
"Line(02000)","Accumulated depreciation","-182782309", , , ,"20"
"Line(02100)","Automobiles and trucks", , , , ,"21"
"Line(02200)","Accumulated depreciation", , , , ,"22"
"Line(02300)","Major movable equipment","316247582", , , ,"23"
"Line(02400)","Accumulated depreciation","-209610237", , , ,"24"
"Line(02500)","Minor equipment depreciable", , , , ,"25"
"Line(02600)","Accumulated depreciation", , , , ,"26"
"Line(02700)","HIT designated Assets","57580926", , , ,"27"
"Line(02800)","Accumulated depreciation","-14766701", , , ,"28"
"Line(02900)","Minor equipment-nondepreciable", , , , ,"29"
"Line(03000)","Total fixed assets (sum of lines 12-29)","463535604", , , ,"30"
"Line(03001)","OTHER ASSETS"
"Line(03100)","Investments", , ,"5097528", ,"31"
"Line(03200)","Deposits on leases", , , , ,"32"
"Line(03300)","Due from owners/officers", , , , ,"33"
"Line(03400)","Other assets","116563090", , , ,"34"
"Line(03500)","Total other assets (sum of lines 31-34)","116563090", ,"5097528", ,"35"
"Line(03600)","\" Total assets (sum of lines 11","30","and 35)\"","5097528", , , ,"36"
"Line(03601)", , ,"Specific"
"Line(03602)","Liabilities and Fund","General","Purpose","Endowment","Plant"
"Line(03603)","Balances","Fund","Fund","Fund","Fund"
"Line(03604)","(Omit cents)","1","2","3","4"
"Line(03605)","CURRENT LIABILITIES"
"Line(03700)","Accounts payable","63727485", , , ,"37"
"Line(03800)","\" Salaries","wages","and fees payable\"", , , , ,"38"
"Line(03900)","Payroll taxes payable", , , , ,"39"
"Line(04000)","Notes and loans payable (short term)","8755000", , , ,"40"
"Line(04100)","Deferred income", , , , ,"41"
"Line(04200)","Accelerated payments", , , , ,"42"
"Line(04300)","Due to other funds", , , , ,"43"
"Line(04400)","Other current liabilities","126629906", , , ,"44"
"Line(04500)","Total current liabilities (sum of","220328132", , , ,"45"
"Line(04501)","lines 37 thru 44)"
"Line(04503)","LONG TERM LIABILITIES"
"Line(04600)","Mortgage payable", , , , ,"46"
"Line(04700)","Notes payable", , , , ,"47"
"Line(04800)","Unsecured loans", , , , ,"48"
"Line(04900)","Other long term liabilities","446469704", , , ,"49"
"Line(05000)","Total long term liabilities (sum of","446469704", , , ,"50"
"Line(05001)","lines 46 thru 49)"
"Line(05100)","Total liabilities (sum of lines 45 and 50)","666797836", , , ,"51"
"Line(05102)","CAPITAL ACCOUNTS"
"Line(05200)","General fund balance","503933485", , , ,"52"
"Line(05300)","Specific purpose fund", ,"53723864", , ,"53"
"Line(05400)","Donor created - endowment fund", , ,"5097528", ,"54"
"Line(05401)","balance - restricted"
"Line(05500)","Donor created - endowment fund", , , , ,"55"
"Line(05501)","balance - unrestricted"
"Line(05600)","Governing body created - endowment", , , , ,"56"
"Line(05601)","fund balance"
"Line(05700)","Plant fund balance - invested in plant", , , , ,"57"
"Line(05800)","Plant fund balance - reserve for plant", , , , ,"58"
"Line(05801)","\" improvement","replacement","and expansion\""
"Line(05900)","Total fund balances (sum of lines 52 thru 58)","503933485","53723864","5097528", ,"59"
"Line(06000)","Total liabilities and fund balances (sum of","1170731321","53723864","5097528", ,"60"
