"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A183)", , ,"D00A183[00200]", , ,"D00A183[00500]","D00A183[00600]","D00A183[00700]","D00A183[00800]","D00A183[00900]"
"Line(03000)", , ,"673812", , ,"673812","273752","2","76232","187531"
"Line(03100)", , ,"53703", , ,"53703","20129","3","6754","18033"
"Line(03200)", , ,"37938", , ,"37938","14220","3","5772","15411"
"Line(03201)", , ,"21813", , ,"21813","8176","3"
"Line(03300)", , ,"5701", , ,"5701","2137","3"
"Line(03402)", , ,"12945", , ,"12945","4852","3","2119","5658"
"Line(03404)", , ,"22920", , ,"22920","8591","3","14","37"
"Line(03405)", , ,"6739", , ,"6739","2526","3","816","2179"
"Line(03406)", , ,"4688", , ,"4688","1757","3","43","115"
"Line(04000)", , ,"17416", , ,"17416","6528","3","1532","4090"
"Line(04300)", , ,"29766", , ,"29766","11157","3"
