"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D10A181)", ,"D10A181[00100]","D10A181[00200]","D10A181[00300]","D10A181[00400]","D10A181[00500]"
"Line(00100)", ,"273752"
"Line(00200)", ,"273752"
"Line(00400)", ,"254847"
"Line(00900)", ,"76232"
"Line(02100)", ,"276409663"
"Line(02700)", ,"276409663"
"Line(03700)", ,"276409663"
"Line(03800)", ,"1010"
"Line(03900)", ,"76972213"
"Line(04100)", ,"76972213"
"Line(04300)", ,"28976507","20129","1440","6754","9722653"
"Line(04400)", ,"21902378","14220","1540","5772","8890323"
"Line(04401)", ,"8259104","8176","1010"
"Line(04500)", ,"3251843","2137","1522"
"Line(04602)", ,"7620336","4852","1571","2119","3328017"
"Line(04604)", ,"15663451","8591","1823","14","25525"
"Line(04605)", ,"4211333","2526","1667","816","1360427"
"Line(04606)", ,"4624767","1757","2632","43","113185"
"Line(04800)", ,"151286416"
"Line(04900)", ,"251698759"
"Line(05000)", ,"4861892"
"Line(05100)", ,"8781600"
"Line(05200)", ,"13643492"
"Line(05300)", ,"238055267"
"Line(08700)", ,"18905"
"Line(08800)", ,"1010"
"Line(08900)", ,"19088568"
"Line(09000)", ,"14084083","276409663","0","19088568","972639"
"Line(09100)", , ,"276409663", ,"19088568"
"Line(09200)", ,"673812","276409663","0","19088568","46538"
