"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A180)", ,"D30A180[00100]","D30A180[00200]","D30A180[00300]"
"Line(03000)", , ,"168501332"
"Line(03100)", , ,"23468201"
"Line(03200)", , ,"20804155"
"Line(03402)", , ,"7414660"
"Line(03404)", , ,"63338"
"Line(03405)", , ,"2893231"
"Line(03406)", , ,"132941"
"Line(05000)", ,"0","127200679","27358322"
"Line(05001)", ,"0","6890523","936615"
"Line(05100)", ,"0","10104062","1764937"
"Line(05200)", ,"0","653376","183059"
"Line(05300)", ,"0","8234117","1335220"
"Line(05301)", ,"0","477137","89273"
"Line(05400)", ,"0","66247683","10145766"
"Line(05500)", ,"0","1197533","148446"
"Line(05600)", ,"0","3268973","649757"
"Line(05900)", ,"0","6967886","971748"
"Line(06000)", ,"0","112767911","11330356"
"Line(06001)", ,"0","525450","182714"
"Line(06002)", ,"0","1351842","278819"
"Line(06300)", ,"0","16728594","3396005"
"Line(06500)", ,"0","32147550","8957786"
"Line(06600)", ,"0","17078690","4318159"
"Line(06700)", ,"0","2716127","751264"
"Line(06800)", ,"1","1609833","823550"
"Line(06900)", ,"0","19753119","1604862"
"Line(07000)", ,"0","7134739","1617310"
"Line(07100)", ,"0","26549173","8098825"
"Line(07200)", ,"0","86203810","15239023"
"Line(07300)", ,"0","134193924","39441070"
"Line(07303)", ,"0"
"Line(07400)", ,"0","7958878","2694478"
"Line(07600)", ,"1"
"Line(07601)", ,"0","5839231","861549"
"Line(07602)", ,"0","13314","4049"
"Line(07603)", ,"0","15467131","2207515"
"Line(07604)", ,"1","292959","343419"
"Line(07608)", ,"0"
"Line(07697)", ,"1","56275","40451"
"Line(09001)", ,"0","8350","3846"
"Line(09002)", ,"1","316711","219133"
"Line(09003)", ,"0","5530","1442"
"Line(09004)", ,"1"
"Line(09006)", ,"0","3446043","810509"
"Line(09007)", ,"1","3384","2243"
"Line(09008)", ,"0"
"Line(09010)", ,"3","106","341"
"Line(09011)", ,"0"
"Line(09012)", ,"3","924","2829"
"Line(09014)", ,"0"
"Line(09017)", ,"2","2404","4073"
"Line(09018)", ,"1","2140","1284"
"Line(09019)", ,"0","5190","1501"
"Line(09020)", ,"1","6942","9985"
"Line(09021)", ,"2"
"Line(09022)", ,"1"
"Line(09023)", ,"2","3022","5811"
"Line(09024)", ,"22523"
"Line(09100)", ,"0","29913651","4100354"
"Line(09200)", ,"1","678105","348593"
"Line(09400)", ,"0","530","125"
"Line(20000)", , ,"754023551","151286416"
