"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"639555641", ,"639555641"
"Line(00200)", ,"13339174", ,"13339174"
"Line(01000)", ,"652894815", ,"652894815"
"Line(01100)", ,"69912836", ,"69912836"
"Line(01200)", ,"51621768", ,"51621768"
"Line(01201)", ,"22988128", ,"22988128"
"Line(01300)", ,"6974966", ,"6974966"
"Line(01402)", ,"16997836", ,"16997836"
"Line(01404)", ,"39246968", ,"39246968"
"Line(01405)", ,"8714366", ,"8714366"
"Line(01406)", ,"6399159", ,"6399159"
"Line(01600)", ,"222856027", ,"222856027"
"Line(01700)", ,"875750842", ,"875750842"
"Line(01800)", ,"2147483647","2017792566","2147483647"
"Line(01900)", ,"189452237","428194390","617646627"
"Line(02100)", , ,"3465643","3465643"
"Line(02200)", , ,"79074743","79074743"
"Line(02300)", ,"199381","67599379","67798760"
"Line(02600)", , ,"17228308","17228308"
"Line(02800)", ,"2147483647","2147483647","2147483647"
"Line(02900)", , ,"1778336513"
"Line(03000)","HOME OFFICE EXPENSE","891332267"
"Line(03600)", , ,"891332267"
"Line(03700)","NON AHC OPERATION (HO ALLOCATIONS)","403901113"
"Line(04200)", , ,"403901113"
