"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"2147483647"
"Line(00300)", ,"2080370453"
"Line(00400)", ,"2147483647"
"Line(00500)", ,"-185397214"
"Line(00700)", ,"250735000"
"Line(02400)","OTHER MISCELLANEOUS INCOME","563728000"
"Line(02500)", ,"814463000"
"Line(02600)", ,"629065786"
"Line(02700)","ED & RESEARCH SUPPORT - IU","50000000"
"Line(02800)", ,"50000000"
