"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H110002)", , , , , ,"H110002[00500]"
"Line(00500)", , , , , ,"24931824"
"Line(00600)", , , , , ,"3297377"
"Line(00700)", , , , , ,"2013663"
"Line(00800)", , , , , ,"334015"
"Line(00900)", , , , , ,"77070"
"Line(01000)", , , , , ,"117597"
"Line(01100)", , , , , ,"257453"
"Line(01600)", , , , , ,"4413885"
"Line(02300)", , , , , ,"14420764"
"Line(02400)", , , , , ,"24931824"
"Line(02500)", , , , , ,"9284180"
