"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H210001)","H210001[00000]","H210001[00100]","H210001[00200]", ,"H210001[00400]", ,"H210001[00600]","H210001[00700]", , , ,"H210001[01100]", ,"H210001[01300]","H210001[01400]", ,"H210001[01600]", ,"H210001[01800]", , , , , ,"H210001[02400]", ,"H210001[02600]","H210001[02700]","H210001[02800]"
"Line(00100)", ,"225055","266881", ,"4402629", ,"155072","497562", , , ,"72251", ,"558578","113027", ,"135376", ,"37719", , , , , ,"7723557", ,"7723557"
"Line(00200)","4525264", , , , , , , , , , , , , , , , , , , , , , , ,"4861731", ,"4861731","1021484","5883215"
"Line(00300)","2763517", , , , , , , , , , , , , , , , , , , , , , , ,"2968993", ,"2968993","623806","3592799"
"Line(00400)","458397", , , , , , , , , , , , , , , , , , , , , , , ,"492480", ,"492480","103473","595953"
"Line(00500)","105770", , , , , , , , , , , , , , , , , , , , , , , ,"113634", ,"113634","23875","137509"
"Line(00600)","161388", , , , , , , , , , , , , , , , , , , , , , , ,"173388", ,"173388","36430","209818"
"Line(00700)","353324", , , , , , , , , , , , , , , , , , , , , , , ,"379595", ,"379595","79756","459351"
"Line(01200)","6057541", , , , , , , , , , , , , , , , , , , , , , , ,"6507937", ,"6507937","1367363","7875300"
"Line(01900)","19790803", , , , , , , , , , , , , , , , , , , , , , , ,"21262309", ,"21262309","4467370","25729679"
"Line(02000)","34216004","225055","266881", ,"4402629", ,"155072","497562", , , ,"72251", ,"558578","113027", ,"135376", ,"37719", , , , , ,"44483624", ,"44483624","7723557","44483624"
