"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H310181)", ,"H310181[00100]","H310181[00200]","H310181[00300]","H310181[00400]","H310181[00500]","H310181[00600]","H310181[00700]", ,"H310181[00900]","H310181[01000]", ,"H310181[01200]"
"Line(00100)", ,"5883215", ,"5883215","34544","170","7081","6505", ,"1205965","1107867", ,"2313832"
"Line(00200)", ,"3592799", ,"3592799","20275","177","4076","4284", ,"722267","759125", ,"1481392"
"Line(00300)", ,"595953", ,"595953","3316","180","1004","888", ,"180439","159591", ,"340030"
"Line(00400)", ,"137509", ,"137509","600","229","184","89", ,"42169","20397", ,"62566"
"Line(00500)", ,"209818", ,"209818","656","320","166","172", ,"53093","55012", ,"108105"
"Line(00600)", ,"459351", ,"459351","7354","62","1361","2595", ,"85008","162084", ,"247092"
"Line(00700)", ,"10878645", ,"10878645","66745", ,"13872","14533", ,"2288941","2264076", ,"4553017"
"Line(00800)", ,"11300","170","159"
"Line(00801)", ,"14020","67","64"
"Line(00802)", ,"23844"
"Line(00803)", ,"26900","2376","2283"
"Line(00804)", ,"29020","360","288"
"Line(00805)", ,"29140","808","720"
"Line(00806)", ,"34620","1668","1115"
"Line(00807)", ,"43780","7"
"Line(00808)", ,"99915","1625","1876"
"Line(00900)", ,"11300","169","102"
"Line(00901)", ,"14020","47","24"
"Line(00902)", ,"23844"
"Line(00903)", ,"26900","1456","1847"
"Line(00904)", ,"29020","295","305"
"Line(00905)", ,"29140","616","666"
"Line(00906)", ,"34620","585","332"
"Line(00907)", ,"43780","10"
"Line(00908)", ,"99915","898","1008"
"Line(01000)", ,"11300","12","7"
"Line(01001)", ,"14020","4","14"
"Line(01002)", ,"23844"
"Line(01003)", ,"26900","448","470"
"Line(01004)", ,"29020","42","78"
"Line(01005)", ,"29140","49","58"
"Line(01006)", ,"34620","276","65"
"Line(01007)", ,"43780","5"
"Line(01008)", ,"99915","168","196"
"Line(01100)", ,"11300"
"Line(01101)", ,"14020"
"Line(01102)", ,"23844"
"Line(01103)", ,"26900","95","53"
"Line(01104)", ,"29020","26"
"Line(01105)", ,"29140","16","16"
"Line(01106)", ,"34620","22","10"
"Line(01107)", ,"43780"
"Line(01108)", ,"99915","25","10"
"Line(01200)", ,"11300","1","1"
"Line(01201)", ,"14020","3","3"
"Line(01202)", ,"23844"
"Line(01203)", ,"26900","110","110"
"Line(01204)", ,"29020","1","7"
"Line(01205)", ,"29140","4","11"
"Line(01206)", ,"34620","20","9"
"Line(01207)", ,"43780"
"Line(01208)", ,"99915","27","31"
"Line(01300)", ,"11300","44","413"
"Line(01301)", ,"14020","23","73"
"Line(01302)", ,"23844"
"Line(01303)", ,"26900","449","400"
"Line(01304)", ,"29020","124","303"
"Line(01305)", ,"29140","89","159"
"Line(01306)", ,"34620","287","529"
"Line(01307)", ,"43780","8"
"Line(01308)", ,"99915","337","718"
