"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H410182)", ,"H410182[00100]","H410182[00200]"
"Line(01100)", ,"2175844","2179946"
"Line(01200)", ,"40288","30068"
"Line(01300)", ,"50303","71354"
"Line(01400)", ,"38375","32235"
"Line(01500)", ,"5878","6237"
"Line(01600)", ,"524","355"
"Line(02200)", ,"2311212","2320195"
"Line(02400)", ,"2311212","2320195"
"Line(02600)", ,"2311212","2320195"
"Line(02900)", ,"2311212","2320195"
"Line(03100)", ,"2311212","2320195"
"Line(03101)", ,"30944","35827"
