"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4H0000)", ,"D4H0000[00100]","D4H0000[00200]","D4H0000[00300]","D4H0000[00400]"
"Line(00100)", ,"2277","741","3","2222"
"Line(00200)", ,"9597","1668","6","10006"
"Line(00201)", , ,"1383"
"Line(00202)", ,"1460","3028","1","3028"
"Line(00700)", ,"13334", ,"10","15256"
"Line(00800)", ,"0","22545","5080"
"Line(00801)", ,"0","1550","505"
"Line(01000)", ,"0"
"Line(01100)", ,"0","2973","814"
"Line(01101)", ,"0","242","47"
"Line(01200)", ,"0","30003","7442"
"Line(01213)", ,"0","230","72"
"Line(01300)", ,"0"
"Line(01400)", ,"0","2976","403"
"Line(01401)", ,"0"
"Line(01500)", ,"0","17105","1272"
"Line(01501)", ,"0"
"Line(01600)", ,"0"
"Line(01601)", ,"0"
"Line(01700)", ,"0","40385","6510"
"Line(01800)", ,"0","98704","7447"
"Line(01805)", ,"0","28241","6267"
"Line(01806)", ,"0","63872","24980"
"Line(01816)", ,"0","982","337"
"Line(02100)", ,"0","13918","2478"
"Line(02101)", ,"0","715","36"
"Line(02200)", ,"0"
"Line(02300)", ,"0","56067","10929"
"Line(02301)", ,"0","63","13"
"Line(02302)", ,"0","832","238"
"Line(02400)", ,"0"
"Line(02402)", ,"0"
"Line(02500)", ,"0"
"Line(02502)", ,"0"
"Line(02600)", ,"0","43","15"
"Line(02602)", ,"0"
"Line(02603)", ,"0"
"Line(02700)", ,"0","14864","1903"
"Line(02701)", ,"0","130","2"
"Line(02800)", ,"0","28","8"
"Line(02900)", ,"0","4951","2209"
"Line(02901)", ,"1","149","79"
"Line(03000)", ,"0"
"Line(03001)", ,"0"
"Line(03100)", ,"0","14733","4580"
"Line(03101)", ,"0","275","91"
"Line(03200)", ,"0"
"Line(03402)", ,"0"
"Line(03700)", ,"0","6197","2028"
"Line(03701)", ,"1"
"Line(03702)", ,"0"
"Line(03703)", ,"0"
"Line(03704)", ,"0"
"Line(03705)", ,"0"
"Line(03706)", ,"0"
"Line(03707)", ,"0"
"Line(03708)", ,"0"
"Line(03709)", ,"1"
"Line(03710)", ,"0"
"Line(03711)", ,"0"
"Line(03712)", ,"1"
"Line(03713)", ,"0"
"Line(03714)", ,"0"
"Line(03715)", ,"0"
"Line(03716)", ,"0"
"Line(03717)", ,"0"
"Line(03718)", ,"0"
"Line(03720)", ,"1","684","504"
"Line(03800)", ,"0","568","131"
"Line(03801)", ,"0"
"Line(03900)", ,"0"
"Line(04100)", , ,"424025","86420"
"Line(04200)", , ,"3"
"Line(04300)", , ,"6"
"Line(04302)", , ,"1"
"Line(04800)", , ,"10"
"Line(05100)", ,"6197"
"Line(05120)", ,"684"
"Line(05200)", ,"568"
"Line(05500)", ,"7449"
"Line(05600)", ,"101676", ,"437359"
"Line(05900)", ,"589502", ,"865379"
"Line(06100)", ,"691178", ,"1302738"
"Line(06200)", , ,"14"
"Line(06300)", , ,"12"
"Line(06400)", , ,"1"
"Line(06500)", ,"592438", ,"1116633"
"Line(06600)", ,"23549"
"Line(06700)", ,"568889", ,"1116633"
"Line(06900)", ,"568889", ,"1116633"
"Line(07000)", , ,"7"
"Line(07300)", , ,"7"
"Line(07400)", , ,"14"
"Line(07500)", , ,"7"
"Line(07700)", , ,"7"
