"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30A197)", ,"E30A197[00100]","E30A197[00200]"
"Line(00100)", ,"1839788"
"Line(00200)", , ,"3122104"
"Line(00500)", ,"6740"
"Line(00600)", , ,"29259"
"Line(00700)", ,"1833048","3092845"
"Line(00900)", ,"28480156","10714780"
"Line(01200)", ,"28480156","10714780"
"Line(01600)", ,"28480156","10714780"
"Line(01700)", ,"26640368","7592676"
"Line(02100)", ,"1839788","3122104"
"Line(02900)", ,"1839788","3122104"
"Line(03100)", ,"1833048","3092845"
"Line(03600)", ,"1833048","3092845"
"Line(03800)", ,"1833048","3092845"
"Line(04000)", ,"1833048","3092845"
"Line(04100)", ,"1832883","3614023"
