"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"184"
"Line(00500)", ,"184"
"Line(00600)", ,"341"
"Line(00700)", ,"184"
"Line(00800)", ,"98","196","294"
"Line(00900)", ,"53","106","159"
"Line(01000)", , ,"8"
"Line(01100)", ,"53","114"
"Line(01200)", ,"56","110"
"Line(01300)", ,"56","108"
"Line(01400)", ,"55","111"
"Line(01700)", ,"55","111"
"Line(01800)", ,"134370","135066"
"Line(01900)", ,"7371531","14973457","22344988"
"Line(02000)", ,"25"
"Line(02100)", ,"157"
"Line(02200)", ,"22"
"Line(02300)", ,"95292"
"Line(02400)", ,"2054494"
"Line(02500)", ,"24399482"
"Line(02600)", ,"57630","4778"
"Line(02700)", ,"145252","145252"
"Line(02800)", ,"0","0"
"Line(02900)", ,"9680714","802621"
"Line(03000)", , ,"113410"
"Line(03100)", , , ,"10369925"
"Line(03300)", ,"63507009"
"Line(03700)", ,"157636548"
"Line(03800)", ,"4355353"
"Line(04000)", ,"30075"
"Line(04100)", ,"161961826"
"Line(04200)", ,"147971466"
"Line(04300)", ,"13593"
"Line(04400)", ,"147957873"
"Line(04500)", ,"309919699"
"Line(04600)", ,"1"
"Line(04700)", ,"0"
"Line(04800)", ,"10369925"
"Line(04900)", ,"5419250"
