"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K020000)", ,"K020000[00100]","K020000[00200]","K020000[00300]", ,"K020000[00500]","K020000[00600]","K020000[00700]","K020000[00800]","K020000[00900]","K020000[01000]"
"Line(00600)", ,"71890","13034","551", ,"135084","220559", ,"220559", ,"220559"
"Line(01000)", ,"664785","120525","29282", ,"1249147","2063739","-453707","1610032","-1549","1608483"
"Line(01500)", ,"71294","12926","5542", ,"133963","223725", ,"223725", ,"223725"
"Line(01600)", ,"46949","8512","3611", ,"88219","147291", ,"147291", ,"147291"
"Line(01900)", ,"128588","23313", , ,"241620","393521", ,"393521", ,"393521"
"Line(02000)", , , ,"50246", , ,"50246", ,"50246", ,"50246"
"Line(02100)", ,"117599","21319", , , ,"138918", ,"138918", ,"138918"
