"General Instruction: ","","Enter Y for all YES responses.  Enter N for all NO responses."
"","","Enter all dates in the mm/dd/yyyy format."
"Report (S200002)", ,"S200002[00100]","S200002[00200]","S200002[00300]","S200002[00400]"
"Line(00100)", ,"N"
"Line(00200)", ,"N"
"Line(00300)", ,"N"
"Line(00400)", ,"Y","A","11/12/2014"
"Line(00500)", ,"Y"
"Line(00600)", ,"N"
"Line(00700)", ,"Y"
"Line(00800)", ,"N"
"Line(00900)", ,"Y"
"Line(01000)", ,"N"
"Line(01100)", ,"N"
"Line(01200)", ,"Y"
"Line(01300)", ,"N"
"Line(01400)", ,"N"
"Line(01500)", ,"Y"
"Line(01600)", ,"N", ,"N"
"Line(01700)", ,"Y","12/30/2014","Y","12/30/2014"
"Line(01800)", ,"N", ,"N"
"Line(01900)", ,"N", ,"N"
"Line(02000)", ,"N", ,"N"
"Line(02100)", ,"N", ,"N"
"Line(02200)", ,"N"
"Line(02300)", ,"N"
"Line(02400)", ,"N"
"Line(02500)", ,"N"
"Line(02600)", ,"N"
"Line(02700)", ,"N"
"Line(02800)", ,"N"
"Line(02900)", ,"Y"
"Line(03000)", ,"Y"
"Line(03100)", ,"N"
"Line(03200)", ,"N"
"Line(03300)", ,"N"
"Line(03400)", ,"Y"
"Line(03500)", ,"N"
"Line(03600)", ,"Y"
"Line(03700)", ,"Y"
"Line(03800)", ,"Y","06/30/2014"
"Line(03900)", ,"N"
