"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D10E181)", ,"D10E181[00100]"
"Line(00100)", ,"9812"
"Line(00200)", ,"9812"
"Line(00400)", ,"9812"
"Line(00900)", ,"3424"
"Line(02100)", ,"5163507"
"Line(02700)", ,"5163507"
"Line(03700)", ,"5163507"
"Line(07000)", ,"5163507"
"Line(07100)", ,"526"
"Line(07200)", ,"1801846"
"Line(07400)", ,"1801846"
"Line(08300)", ,"1801846"
"Line(08400)", ,"1192735"
