"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30B180)", ,"D30B180[00100]","D30B180[00200]","D30B180[00300]"
"Line(04000)", , ,"1488272"
"Line(05000)", ,"0","41048","5757"
"Line(05010)", ,"3"
"Line(05100)", ,"0","10547","517"
"Line(05200)", ,"0"
"Line(05300)", ,"0","53024","3856"
"Line(05400)", ,"0","1278","349"
"Line(05401)", ,"0","294","114"
"Line(05402)", ,"0"
"Line(05403)", ,"0"
"Line(05410)", ,"0"
"Line(05500)", ,"0"
"Line(05700)", ,"0","5747","327"
"Line(05800)", ,"0"
"Line(05900)", ,"0","633","58"
"Line(06000)", ,"0","127831","20221"
"Line(06300)", ,"1","7403","3728"
"Line(06400)", ,"0"
"Line(06500)", ,"0","15097","2806"
"Line(06600)", ,"0","13815","3010"
"Line(06800)", ,"0","574","74"
"Line(06900)", ,"0","80","35"
"Line(07000)", ,"0"
"Line(07100)", ,"1","1560","906"
"Line(07200)", ,"0"
"Line(07300)", ,"0","160400","45678"
"Line(07400)", ,"0","40013","10233"
"Line(07501)", ,"0"
"Line(07503)", ,"0"
"Line(07504)", ,"0"
"Line(07505)", ,"2","56","90"
"Line(07506)", ,"0"
"Line(07600)", ,"0","772","131"
"Line(09001)", ,"0"
"Line(09002)", ,"1"
"Line(09003)", ,"1"
"Line(09004)", ,"0"
"Line(09005)", ,"1"
"Line(09006)", ,"1"
"Line(09007)", ,"1","282","248"
"Line(09008)", ,"1"
"Line(09009)", ,"1"
"Line(09010)", ,"0"
"Line(09011)", ,"0"
"Line(09012)", ,"1"
"Line(09013)", ,"0"
"Line(09014)", ,"1"
"Line(09015)", ,"0"
"Line(09016)", ,"1"
"Line(09017)", ,"1"
"Line(09018)", ,"1"
"Line(09019)", ,"1"
"Line(09020)", ,"11"
"Line(09021)", ,"2"
"Line(09022)", ,"1"
"Line(09023)", ,"1"
"Line(09025)", ,"1"
"Line(09100)", ,"0","54284","8466"
"Line(09200)", ,"1"
"Line(20000)", , ,"534738","106604"
