"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30E180)", ,"D30E180[00100]","D30E180[00200]","D30E180[00300]"
"Line(05000)", ,"0","118","16"
"Line(05010)", ,"3"
"Line(05100)", ,"0"
"Line(05200)", ,"0"
"Line(05300)", ,"0"
"Line(05400)", ,"0","22028","5586"
"Line(05401)", ,"0","5544","2146"
"Line(05402)", ,"0","247","77"
"Line(05403)", ,"0"
"Line(05410)", ,"0"
"Line(05500)", ,"0","2833","330"
"Line(05700)", ,"0","20389","1159"
"Line(05800)", ,"0","3550","286"
"Line(05900)", ,"0"
"Line(06000)", ,"0","406121","63421"
"Line(06300)", ,"1","18849","9491"
"Line(06400)", ,"0","2620","541"
"Line(06500)", ,"0","318294","59167"
"Line(06600)", ,"0","3268422","712140"
"Line(06800)", ,"0","55608","7145"
"Line(06900)", ,"0","530","233"
"Line(07000)", ,"0"
"Line(07100)", ,"1","90053","52290"
"Line(07200)", ,"0"
"Line(07300)", ,"0","920995","262277"
"Line(07400)", ,"0"
"Line(07501)", ,"0"
"Line(07503)", ,"0"
"Line(07504)", ,"0"
"Line(07505)", ,"2","5458","8737"
"Line(07506)", ,"0"
"Line(07600)", ,"0"
"Line(09001)", ,"0","250","113"
"Line(09002)", ,"1","235","292"
"Line(09003)", ,"1","306","205"
"Line(09004)", ,"0","118","36"
"Line(09005)", ,"1"
"Line(09006)", ,"1","212","110"
"Line(09007)", ,"1"
"Line(09008)", ,"1","285","156"
"Line(09009)", ,"1","5172","2661"
"Line(09010)", ,"0","118","49"
"Line(09011)", ,"0"
"Line(09012)", ,"1"
"Line(09013)", ,"0","636","163"
"Line(09014)", ,"1","965","813"
"Line(09015)", ,"0","706","169"
"Line(09016)", ,"1","306","261"
"Line(09017)", ,"1","306","217"
"Line(09018)", ,"1","694","881"
"Line(09019)", ,"1"
"Line(09020)", ,"11"
"Line(09021)", ,"2"
"Line(09022)", ,"1","836","889"
"Line(09023)", ,"1","118","156"
"Line(09025)", ,"1","989","522"
"Line(09100)", ,"0"
"Line(09200)", ,"1"
"Line(20000)", , ,"5153911","1192735"
