"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4L0000)", ,"D4L0000[00100]","D4L0000[00200]","D4L0000[00300]","D4L0000[00400]"
"Line(00100)", ,"28213","757","12","9081"
"Line(00200)", ,"14608","1353","4","5414"
"Line(00300)", , ,"1272"
"Line(00600)", , ,"1647"
"Line(00601)", , ,"1052"
"Line(00700)", ,"42821", ,"16","14495"
"Line(00800)", ,"0","334515","46396"
"Line(00810)", ,"3"
"Line(00900)", ,"0","5623","276"
"Line(01000)", ,"0","86","37"
"Line(01100)", ,"0","183447","12008"
"Line(01200)", ,"0","112949","28641"
"Line(01201)", ,"0","136661","52895"
"Line(01202)", ,"0","19291","6014"
"Line(01203)", ,"0","45359","9733"
"Line(01210)", ,"0","12968","4084"
"Line(01300)", ,"0"
"Line(01500)", ,"0","436283","24796"
"Line(01600)", ,"0","247706","19974"
"Line(01700)", ,"0","597303","54845"
"Line(01800)", ,"0","648324","101244"
"Line(02100)", ,"1","155784","78444"
"Line(02200)", ,"0","29268","6039"
"Line(02300)", ,"0","41968","7801"
"Line(02400)", ,"0","2982","650"
"Line(02600)", ,"0"
"Line(02700)", ,"0","694","305"
"Line(02800)", ,"0"
"Line(02900)", ,"1","135500","78679"
"Line(03000)", ,"0","25796","9814"
"Line(03100)", ,"0","162275","46212"
"Line(03200)", ,"0","1015","260"
"Line(03301)", ,"0","7560","985"
"Line(03303)", ,"0"
"Line(03304)", ,"0","339970","48080"
"Line(03305)", ,"2","54","86"
"Line(03306)", ,"0","3426","599"
"Line(03400)", ,"0"
"Line(03701)", ,"0"
"Line(03702)", ,"1","800","993"
"Line(03703)", ,"1","1571","1050"
"Line(03704)", ,"0","535","163"
"Line(03705)", ,"1","113","153"
"Line(03706)", ,"1","658","340"
"Line(03707)", ,"1","279","246"
"Line(03708)", ,"1","72","39"
"Line(03709)", ,"1"
"Line(03710)", ,"0","454","190"
"Line(03711)", ,"0"
"Line(03712)", ,"1"
"Line(03713)", ,"0"
"Line(03714)", ,"1","2846","2397"
"Line(03715)", ,"0","1243","297"
"Line(03716)", ,"1"
"Line(03717)", ,"1"
"Line(03718)", ,"1"
"Line(03719)", ,"1"
"Line(03720)", ,"11"
"Line(03721)", ,"2"
"Line(03722)", ,"1","67767","72038"
"Line(03723)", ,"1"
"Line(03725)", ,"1"
"Line(03800)", ,"0","436","66"
"Line(03900)", ,"1","3780","2186"
"Line(04100)", , ,"3767361","719055"
"Line(04200)", , ,"12"
"Line(04300)", , ,"4"
"Line(04800)", , ,"16"
"Line(05102)", ,"800"
"Line(05103)", ,"1571"
"Line(05104)", ,"535"
"Line(05105)", ,"113"
"Line(05106)", ,"658"
"Line(05107)", ,"279"
"Line(05108)", ,"72"
"Line(05110)", ,"454"
"Line(05114)", ,"2846"
"Line(05115)", ,"1243"
"Line(05122)", ,"67767"
"Line(05200)", ,"436"
"Line(05300)", ,"3780"
"Line(05500)", ,"80554"
"Line(05600)", ,"733550", ,"3810182"
"Line(05900)", ,"16062053", ,"13388484"
"Line(06100)", ,"16795603", ,"17198666"
"Line(06200)", , ,"184"
"Line(06300)", , ,"66"
"Line(06400)", , ,"0"
"Line(06500)", ,"6024516", ,"6169093"
"Line(06600)", ,"77393"
"Line(06700)", ,"5947123", ,"6169093"
"Line(06900)", ,"5947123", ,"6169093"
"Line(07000)", , ,"9"
"Line(07300)", ,"3","172"
"Line(07400)", ,"3","181"
"Line(07500)", ,"3","172"
"Line(07700)", , ,"9","77393"
