"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30A057)","E30A057[00000]","E30A057[00100]","E30A057[00200]"
"Line(00100)", ,"120876"
"Line(00200)", , ,"65321"
"Line(00700)", ,"120876","65321"
"Line(00800)", ,"196309"
"Line(00900)", ,"230065","377928"
"Line(01200)", ,"426374","377928"
"Line(01600)", ,"426374","377928"
"Line(01700)", ,"305498","312607"
"Line(02100)", ,"120876","65321"
"Line(02900)", ,"120876","65321"
"Line(03100)", ,"120876","65321"
"Line(03600)", ,"120876","65321"
"Line(03700)","OFFSET SETTLEMENT AMOUNT","-120876","-4659"
"Line(03800)", , ,"60662"
"Line(04000)", , ,"60662"
