"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B197)","E30B197[00000]","E30B197[00100]"
"Line(00100)", ,"59760"
"Line(00700)", ,"59760"
"Line(00800)", ,"138308"
"Line(00900)", ,"29159"
"Line(01200)", ,"167467"
"Line(01600)", ,"167467"
"Line(01700)", ,"107707"
"Line(02100)", ,"59760"
"Line(02900)", ,"59760"
"Line(03100)", ,"59760"
"Line(03600)", ,"59760"
"Line(03700)","PSYCH SETTLEMENT ADJUSTMENT","-28117"
"Line(03800)", ,"31643"
"Line(04000)", ,"31643"
