"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30E186)", ,"E30E186[00100]"
"Line(00100)", ,"1395095"
"Line(00300)", ,"1921"
"Line(00400)", ,"1397016"
"Line(00600)", ,"464"
"Line(00700)", ,"48248"
"Line(00800)", ,"41027"
"Line(00900)", ,"3277"
"Line(01000)", ,"27422"
"Line(01200)", ,"1375726"
"Line(01300)", ,"3305"
"Line(01500)", ,"1372421"
"Line(01501)", ,"20724"
"Line(01600)", ,"1333622"
