"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30C180)", ,"D30C180[00100]","D30C180[00200]","D30C180[00300]"
"Line(04100)", , ,"4488707"
"Line(05000)", ,"0","91798","7014"
"Line(05001)", ,"0"
"Line(05002)", ,"0"
"Line(05100)", ,"0","16663","1635"
"Line(05300)", ,"0","47399","5435"
"Line(05301)", ,"0"
"Line(05400)", ,"0","211589","10373"
"Line(05401)", ,"0","7913","380"
"Line(05404)", ,"0"
"Line(05405)", ,"0"
"Line(05500)", ,"0","23036","1993"
"Line(05600)", ,"0","2379","253"
"Line(05601)", ,"0"
"Line(05700)", ,"0","164727","3355"
"Line(05800)", ,"0","72556","2369"
"Line(06000)", ,"0","1732669","58755"
"Line(06001)", ,"0"
"Line(06003)", ,"0","2181","249"
"Line(06004)", ,"0"
"Line(06200)", ,"0","72853","5819"
"Line(06500)", ,"0","709036","53279"
"Line(06501)", ,"0","9792","1535"
"Line(06502)", ,"0"
"Line(06600)", ,"0","1265726","201978"
"Line(06700)", ,"0","1734430","213038"
"Line(06900)", ,"0","14572","617"
"Line(06901)", ,"0","131561","6175"
"Line(06902)", ,"0","13767","585"
"Line(06903)", ,"1"
"Line(06904)", ,"4"
"Line(06905)", ,"0"
"Line(06907)", ,"1"
"Line(07000)", ,"0","18925","1021"
"Line(07001)", ,"0"
"Line(07100)", ,"0","42680","3613"
"Line(07200)", ,"0","266354","41934"
"Line(07300)", ,"0","2645624","205798"
"Line(07301)", ,"0"
"Line(07400)", ,"1"
"Line(07500)", ,"0"
"Line(07501)", ,"0"
"Line(07600)", ,"0"
"Line(07601)", ,"0","156179","26310"
"Line(07602)", ,"0","13322","1532"
"Line(07603)", ,"0"
"Line(07604)", ,"1"
"Line(07605)", ,"7"
"Line(07606)", ,"0"
"Line(07607)", ,"0"
"Line(07608)", ,"0"
"Line(07609)", ,"0"
"Line(07610)", ,"0"
"Line(07612)", ,"0"
"Line(07613)", ,"0"
"Line(09000)", ,"0"
"Line(09001)", ,"1"
"Line(09002)", ,"0"
"Line(09003)", ,"0"
"Line(09004)", ,"1"
"Line(09005)", ,"1"
"Line(09007)", ,"0","183","87"
"Line(09008)", ,"0"
"Line(09009)", ,"4"
"Line(09010)", ,"0"
"Line(09011)", ,"2"
"Line(09012)", ,"0"
"Line(09013)", ,"0"
"Line(09014)", ,"1"
"Line(09015)", ,"1"
"Line(09016)", ,"0"
"Line(09017)", ,"0"
"Line(09018)", ,"0"
"Line(09019)", ,"1"
"Line(09024)", ,"0"
"Line(09100)", ,"0","595","63"
"Line(09200)", ,"0"
"Line(09300)", ,"0"
"Line(20000)", , ,"9468509","855195"
