"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00B18B)", ,"E00B18B[00100]"
"Line(00100)", ,"3090"
"Line(00300)", ,"4669"
"Line(01100)", ,"3090"
"Line(01400)", ,"22641"
"Line(01800)", ,"22641"
"Line(01900)", ,"19551"
"Line(02100)", ,"3090"
"Line(02400)", ,"4669"
"Line(02600)", ,"475"
"Line(02700)", ,"7284"
"Line(03000)", ,"7284"
"Line(03200)", ,"7284"
"Line(03700)", ,"7284"
"Line(04000)", ,"7284"
"Line(04001)", ,"146"
"Line(04100)", ,"4390"
