"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00C18B)", ,"E00C18B[00100]"
"Line(00100)", ,"480"
"Line(00300)", ,"682"
"Line(01100)", ,"480"
"Line(01400)", ,"15173"
"Line(01800)", ,"15173"
"Line(01900)", ,"14693"
"Line(02100)", ,"480"
"Line(02400)", ,"682"
"Line(02600)", ,"124"
"Line(02700)", ,"1038"
"Line(03000)", ,"1038"
"Line(03200)", ,"1038"
"Line(03700)", ,"1038"
"Line(04000)", ,"1038"
"Line(04001)", ,"21"
"Line(04100)", ,"615"
