"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B182)", ,"E30B182[00100]"
"Line(00100)", ,"8119342"
"Line(00200)", ,"55822"
"Line(00300)", ,"99599"
"Line(00400)", ,"18"
"Line(00600)", ,"26"
"Line(00800)", ,"18"
"Line(00900)", ,"281"
"Line(01000)", ,"0"
"Line(01100)", ,"266079"
"Line(01200)", ,"8540842"
"Line(01600)", ,"8540842"
"Line(01800)", ,"8540842"
"Line(01900)", ,"381792"
"Line(02000)", ,"8159050"
"Line(02100)", ,"1042944"
"Line(02200)", ,"7116106"
"Line(02300)", ,"193322"
"Line(02400)", ,"125659"
"Line(02500)", ,"34160"
"Line(02600)", ,"7241765"
"Line(02800)", ,"24"
"Line(03100)", ,"7241789"
"Line(03101)", ,"144836"
"Line(03200)", ,"6850624"
"Line(03400)", ,"246329"
