"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)", ,"G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"926530887", ,"926530887"
"Line(00200)", ,"199745660", ,"199745660"
"Line(00300)", ,"17591439", ,"17591439"
"Line(00700)", ,"9177715", ,"9177715"
"Line(01000)", ,"1153045701", ,"1153045701"
"Line(01100)", ,"299803872", ,"299803872"
"Line(01200)", ,"81981448", ,"81981448"
"Line(01400)", ,"51325016", ,"51325016"
"Line(01500)", ,"81059217", ,"81059217"
"Line(01501)", ,"65938312", ,"65938312"
"Line(01600)", ,"580107865", ,"580107865"
"Line(01700)", ,"1733153566", ,"1733153566"
"Line(01800)", ,"2147483647","2147483647","2147483647"
"Line(01900)", ,"-1101669","-1098880881","-1099982550"
"Line(02800)", ,"2147483647","2147483647","2147483647"
"Line(02900)", , ,"2147483647"
