"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4P0000)", ,"D4P0000[00100]","D4P0000[00200]","D4P0000[00300]","D4P0000[00400]"
"Line(00100)", ,"5354","1069","2","2138"
"Line(00200)", ,"6384","1822","2","3644"
"Line(00400)", , ,"4316"
"Line(00600)", , ,"1561"
"Line(00601)", , ,"2735"
"Line(00603)", , ,"2017"
"Line(00604)", , ,"2461"
"Line(00700)", ,"11738", ,"4","5782"
"Line(00800)", ,"1","47080","25049"
"Line(00801)", ,"0"
"Line(00900)", ,"0","10058","1807"
"Line(01000)", ,"1"
"Line(01100)", ,"0","52873","3804"
"Line(01200)", ,"0","68172","16518"
"Line(01201)", ,"0","19671","2161"
"Line(01400)", ,"0","311761","63537"
"Line(01500)", ,"0","173257","12776"
"Line(01600)", ,"0","14397","1441"
"Line(01700)", ,"0","983577","255599"
"Line(01800)", ,"0","562898","56976"
"Line(01801)", ,"0","23534","4249"
"Line(01803)", ,"1"
"Line(02100)", ,"0","35873","10159"
"Line(02300)", ,"0","8415","2223"
"Line(02400)", ,"0","13612","4190"
"Line(02500)", ,"0"
"Line(02600)", ,"1"
"Line(02700)", ,"0","127022","22760"
"Line(02800)", ,"0"
"Line(02900)", ,"2"
"Line(03100)", ,"0","84571","27641"
"Line(03200)", ,"0"
"Line(03400)", ,"0","14559","5151"
"Line(03401)", ,"3"
"Line(03404)", ,"0","36729","4940"
"Line(03407)", ,"0","97947","28276"
"Line(03409)", ,"1"
"Line(03410)", ,"3","220","673"
"Line(03411)", ,"7270"
"Line(03700)", ,"1"
"Line(03701)", ,"1"
"Line(03702)", ,"0","8817","4408"
"Line(03703)", ,"7","618","4484"
"Line(03707)", ,"0","144899","61242"
"Line(03708)", ,"0","82966","31058"
"Line(03709)", ,"1"
"Line(03710)", ,"0"
"Line(03712)", ,"1"
"Line(03714)", ,"1"
"Line(03715)", ,"1","200","146"
"Line(03716)", ,"1","1296","746"
"Line(03718)", ,"1"
"Line(03720)", ,"1","95","85"
"Line(03721)", ,"1"
"Line(03722)", ,"0","8267","3838"
"Line(03723)", ,"1"
"Line(03724)", ,"0","11713","4458"
"Line(03725)", ,"1","235","224"
"Line(03726)", ,"0"
"Line(03728)", ,"0","24663","9217"
"Line(03729)", ,"0","19021","7062"
"Line(03730)", ,"0"
"Line(03731)", ,"0"
"Line(03732)", ,"0"
"Line(03800)", ,"0","3002","745"
"Line(03901)", ,"0","3729","173"
"Line(04100)", , ,"2995747","677816"
"Line(04200)", , ,"2"
"Line(04300)", , ,"2"
"Line(04800)", , ,"4"
"Line(05102)", ,"8817"
"Line(05103)", ,"618"
"Line(05107)", ,"144899"
"Line(05108)", ,"82966"
"Line(05115)", ,"200"
"Line(05116)", ,"1296"
"Line(05120)", ,"95"
"Line(05122)", ,"8267"
"Line(05124)", ,"11713"
"Line(05125)", ,"235"
"Line(05128)", ,"24663"
"Line(05129)", ,"19021"
"Line(05200)", ,"3002"
"Line(05301)", ,"3729"
"Line(05500)", ,"309521"
"Line(05600)", ,"683598", ,"3007485"
"Line(05900)", ,"3489683", ,"3489683"
"Line(06100)", ,"4173281", ,"6497168"
"Line(06200)", , ,"58"
"Line(06300)", , ,"38"
"Line(06400)", , ,"1"
"Line(06500)", ,"2734217", ,"4256763"
"Line(06600)", ,"39537"
"Line(06700)", ,"2694680", ,"4256763"
"Line(06900)", ,"2694680", ,"4256763"
"Line(07000)", , ,"14"
"Line(07300)", , ,"44"
"Line(07400)", , ,"58"
"Line(07500)", , ,"44"
"Line(07700)", , ,"14","39537"
