"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H010000)", ,"H010000[00100]", , ,"H010000[00400]","H010000[00500]","H010000[00600]","H010000[00700]","H010000[00800]","H010000[00900]","H010000[01000]"
"Line(00500)", ,"769949", , ,"51653","423698","1245300","-11419","1233881","492635","1726516"
"Line(00600)", ,"2063615", , ,"60254","120421","2244290", ,"2244290","-121078","2123212"
"Line(00700)", ,"491080", , ,"4770","57962","553812", ,"553812","-28813","524999"
"Line(00800)", ,"135405", , , ,"10290","145695", ,"145695","-7945","137750"
"Line(00900)", ,"4603", , ,"2840","2083","9526", ,"9526","-270","9256"
"Line(01000)", ,"30855", , ,"6105","2315","39275", ,"39275","-1810","37465"
"Line(01100)", ,"106393", , , ,"15435","121828", ,"121828","-6242","115586"
