"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H210002)", ,"H210002[00100]", , ,"H210002[00400]", ,"H210002[00600]","H210002[00700]", ,"H210002[00900]", ,"H210002[01100]", ,"H210002[01300]","H210002[01400]","H210002[01500]"
"Line(00100)", ,"5729", , ,"769949"
"Line(00200)", , , , ,"2063615", ,"3373","3373", ,"222", ,"55187", ,"1487","2072","2991"
"Line(00300)", , , , ,"491080", ,"1698","1698", ,"112", ,"35173", ,"747","1043","1504"
"Line(00400)", , , , ,"135405", ,"30","30", ,"2", ,"610", ,"13","18","26"
"Line(00500)", , , , ,"4603", ,"172","172", ,"12", ,"3568", ,"75","106","153"
"Line(00600)", , , , ,"30855", ,"26","26", ,"2", ,"528", ,"11","16","23"
"Line(00700)", , , , ,"106393", ,"430","430", ,"28", ,"8902", ,"189","264","381"
"Line(00800)"
"Line(02000)", ,"5729", , ,"3601900", ,"5729","5729", ,"378", ,"103968", ,"2522","3519","5078"
"Line(02100)", ,"68611", , ,"715316", , ,"161804", ,"611", ,"9984", ,"100397","1211","1220"
