"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A183)", ,"D00A183[00100]","D00A183[00200]", , ,"D00A183[00500]","D00A183[00600]","D00A183[00700]","D00A183[00800]","D00A183[00900]"
"Line(03000)", ,"3245771","432901", , ,"3678672","180174","20","48627","992963"
"Line(03100)", ,"291960","28706", , ,"320666","10369","31","4157","128576"
"Line(03101)", , ,"40486", , ,"40486","14624","3"
"Line(03200)", , ,"15210", , ,"15210","5494","3","2590","7174"
"Line(03201)", , ,"7741", , ,"7741","2796","3","1100","3047"
"Line(03401)", ,"250977","42698", , ,"293675","15423","19","6134","116791"
"Line(03402)", , ,"25617", , ,"25617","9253","3","3284","9097"
"Line(03403)", , ,"18604", , ,"18604","6720","3","2640","7313"
"Line(03404)", ,"41339","12572", , ,"53911","4541","12","49","582"
"Line(03405)", , ,"1833", , ,"1833","662","3","104","288"
"Line(03406)", , ,"17929", , ,"17929","6476","3","126","349"
"Line(03407)", , ,"28538", , ,"28538","10308","3"
"Line(04000)", ,"292405","68548", , ,"360953","24760","15","4987","72710"
"Line(04100)", , ,"9371", , ,"9371","3385","3","13","36"
"Line(04300)", , , , , , ,"17097"
