"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4K0000)", ,"D4K0000[00100]","D4K0000[00200]","D4K0000[00300]","D4K0000[00400]"
"Line(00100)", ,"113243","864","97","83767"
"Line(00200)", ,"4855","1479","2","2958"
"Line(00201)", , ,"1514"
"Line(00300)", ,"4273","1487","2","2974"
"Line(00301)", , ,"1751"
"Line(00501)", ,"23096","1214","10","12135"
"Line(00502)", ,"19208","1489","8","11909"
"Line(00503)", , ,"1265"
"Line(00504)", ,"1283","2295","1","2295"
"Line(00505)", , ,"1623"
"Line(00506)", , ,"1184"
"Line(00507)", , ,"908"
"Line(00700)", ,"165958", ,"120","116038"
"Line(00800)", ,"0","867280","114193"
"Line(00801)", ,"5"
"Line(00900)", ,"0","100537","24931"
"Line(01000)", ,"0"
"Line(01100)", ,"0","102583","5513"
"Line(01200)", ,"0","230103","36076"
"Line(01300)", ,"0"
"Line(01400)", ,"0","1234657","189530"
"Line(01500)", ,"0","649342","18254"
"Line(01600)", ,"0","3359","235"
"Line(01700)", ,"0","3879","450"
"Line(01800)", ,"0","3295903","479412"
"Line(01801)", ,"0","10649","3338"
"Line(01802)", ,"0","3215378","552167"
"Line(02300)", ,"0","3138","1027"
"Line(02400)", ,"0"
"Line(02600)", ,"0"
"Line(02700)", ,"0","626754","55765"
"Line(02900)", ,"1","14560","11201"
"Line(03000)", ,"0"
"Line(03100)", ,"0","317482","87446"
"Line(03200)", ,"0","848","248"
"Line(03300)", ,"0","317","62"
"Line(03401)", ,"6"
"Line(03402)", ,"1"
"Line(03403)", ,"0"
"Line(03497)", ,"1"
"Line(03700)", ,"1"
"Line(03701)", ,"3"
"Line(03702)", ,"1"
"Line(03703)", ,"2"
"Line(03704)", ,"3"
"Line(03705)", ,"1"
"Line(03706)", ,"3"
"Line(03707)", ,"1"
"Line(03708)", ,"2"
"Line(03709)", ,"1"
"Line(03710)", ,"1"
"Line(03711)", ,"4"
"Line(03712)", ,"1"
"Line(03713)", ,"7"
"Line(03714)", ,"1"
"Line(03715)", ,"0"
"Line(03716)", ,"1"
"Line(03717)", ,"2"
"Line(03720)", ,"1"
"Line(03721)", ,"0"
"Line(03722)", ,"0"
"Line(03723)", ,"0"
"Line(03724)", ,"0"
"Line(03725)", ,"3"
"Line(03800)", ,"0","7065","1272"
"Line(03801)", ,"1","6045","5458"
"Line(03802)", ,"0"
"Line(03803)", ,"0"
"Line(03900)", ,"1"
"Line(03901)", ,"0"
"Line(03902)", ,"0"
"Line(04100)", , ,"10689879","1586578"
"Line(04200)", , ,"97"
"Line(04300)", , ,"2"
"Line(04400)", , ,"2"
"Line(04601)", , ,"10"
"Line(04602)", , ,"8"
"Line(04604)", , ,"1"
"Line(04800)", , ,"120"
"Line(05200)", ,"7065"
"Line(05201)", ,"6045"
"Line(05500)", ,"13110"
"Line(05600)", ,"1702616", ,"10855837"
"Line(05900)", ,"9675495", ,"6696422"
"Line(06100)", ,"11378111", ,"17552259"
"Line(06200)", , ,"283"
"Line(06300)", , ,"236"
"Line(06400)", , ,"1"
"Line(06500)", ,"9488457", ,"14637215"
"Line(06600)", ,"1311975", ,"1311975"
"Line(06700)", ,"8176482", ,"13325240"
"Line(06900)", ,"8176482", ,"13325240"
"Line(07000)", ,"27","116"
"Line(07200)", , ,"45"
"Line(07300)", ,"1","14"
"Line(07400)", ,"28","175"
"Line(07500)", ,"28","90","6696422"
"Line(07800)", , ,"49","1311975"
"Line(08200)", , ,"19"
"Line(08300)", , ,"17"
