"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00A18B)","E00A18B[00000]","E00A18B[00100]"
"Line(00100)", ,"79158"
"Line(00200)", ,"91625359"
"Line(00300)", ,"66983551"
"Line(00400)", ,"2426891"
"Line(00900)", ,"593979"
"Line(01100)", ,"79158"
"Line(01400)", ,"326081"
"Line(01800)", ,"326081"
"Line(01900)", ,"246923"
"Line(02100)", ,"79158"
"Line(02400)", ,"70004421"
"Line(02500)", ,"21351"
"Line(02600)", ,"13099967"
"Line(02700)", ,"56962261"
"Line(02800)", ,"2231821"
"Line(03000)", ,"59194082"
"Line(03100)", ,"15230"
"Line(03200)", ,"59178852"
"Line(03400)", ,"2658715"
"Line(03500)", ,"1728165"
"Line(03600)", ,"1208069"
"Line(03700)", ,"60907017"
"Line(03900)","REBILLING ADJUSTMENT","-36"
"Line(04000)", ,"60906981"
"Line(04001)", ,"919695"
"Line(04100)", ,"58990562"
"Line(04300)", ,"996724"
"Line(04400)", ,"919713"
