"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00A18A)","E00A18A[00000]","E00A18A[00100]"
"Line(00100)", ,"227428904"
"Line(00200)", ,"22084478"
"Line(00300)", ,"23242478"
"Line(00400)", ,"922"
"Line(00500)", ,"492"
"Line(00600)", ,"15"
"Line(00900)", ,"508"
"Line(01000)", ,"581"
"Line(01100)", ,"13"
"Line(01200)", ,"521"
"Line(01300)", ,"521"
"Line(01400)", ,"522"
"Line(01500)", ,"521"
"Line(01700)", ,"1"
"Line(01800)", ,"522"
"Line(01900)", ,"1"
"Line(02000)", ,"1"
"Line(02100)", ,"1"
"Line(02200)", ,"67400521"
"Line(02300)", ,"7"
"Line(02400)", ,"74"
"Line(02500)", ,"7"
"Line(02600)", ,"0"
"Line(02700)", ,"0"
"Line(02800)", ,"508863"
"Line(02900)", ,"67909384"
"Line(03000)", ,"0"
"Line(03100)", ,"0"
"Line(03200)", ,"0"
"Line(03300)", ,"0"
"Line(03400)", ,"22469976"
"Line(04700)", ,"339892742"
"Line(04900)", ,"339892742"
"Line(05000)", ,"24154378"
"Line(05200)", ,"18473757"
"Line(05300)", ,"123001"
"Line(05400)", ,"138056"
"Line(05500)", ,"8513230"
"Line(05700)", ,"499724"
"Line(05800)", ,"149028"
"Line(05900)", ,"391943916"
"Line(06000)", ,"308881"
"Line(06100)", ,"391635035"
"Line(06200)", ,"13806906"
"Line(06300)", ,"2641985"
"Line(06400)", ,"2275277"
"Line(06500)", ,"1478930"
"Line(06600)", ,"1963391"
"Line(06700)", ,"376665074"
"Line(07000)","ER ADJ FROM PS&R"
"Line(07093)", ,"-562101"
"Line(07094)", ,"-1161128"
"Line(07100)", ,"374941845"
"Line(07101)", ,"3749418"
"Line(07200)", ,"364789562"
"Line(07400)", ,"6402865"
"Line(07500)", ,"9456675"
"Line(09000)", ,"22084478"
