"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B182)","E30B182[00000]","E30B182[00100]"
"Line(00100)", ,"2851074"
"Line(00200)", ,"85248"
"Line(00300)", ,"98353"
"Line(00400)", ,"5"
"Line(00600)", ,"6"
"Line(00800)", ,"5"
"Line(00900)", ,"23"
"Line(01000)", ,"0"
"Line(01100)", ,"270108"
"Line(01200)", ,"3304783"
"Line(01600)", ,"3304783"
"Line(01800)", ,"3304783"
"Line(01900)", ,"178932"
"Line(02000)", ,"3125851"
"Line(02100)", ,"81658"
"Line(02200)", ,"3044193"
"Line(02600)", ,"3044193"
"Line(02800)", ,"19866"
"Line(03001)","OTHER ADJ PER PS&R"
"Line(03100)", ,"3064059"
"Line(03101)", ,"30641"
"Line(03200)", ,"2993889"
"Line(03400)", ,"39529"
