"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"2147483647"
"Line(00300)", ,"2147483647"
"Line(00400)", ,"2147483647"
"Line(00500)", ,"-824316940"
"Line(01200)", ,"8232417"
"Line(01400)", ,"20611076"
"Line(01700)", ,"348545"
"Line(02200)", ,"10356106"
"Line(02300)", ,"864881000"
"Line(02400)","OTHER"
"Line(02401)", ,"68144796"
"Line(02500)", ,"972573940"
"Line(02600)", ,"148257000"
"Line(02702)","RESEARCH"
