"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00A18A)","E00A18A[00000]","E00A18A[00100]"
"Line(00100)", ,"227428904"
"Line(00200)", ,"22084478"
"Line(00300)", ,"23242478"
"Line(00400)", ,"922"
"Line(00500)", ,"492"
"Line(00600)", ,"15"
"Line(00900)", ,"508"
"Line(01000)", ,"581"
"Line(01100)", ,"13"
"Line(01200)", ,"521"
"Line(01300)", ,"521"
"Line(01400)", ,"522"
"Line(01500)", ,"521"
"Line(01700)", ,"1"
"Line(01800)", ,"522"
"Line(01900)", ,"1"
"Line(02000)", ,"1"
"Line(02100)", ,"1"
"Line(02200)", ,"67400521"
"Line(02300)", ,"7"
"Line(02400)", ,"74"
"Line(02500)", ,"7"
"Line(02600)", ,"0"
"Line(02700)", ,"0"
"Line(02800)", ,"508863"
"Line(02900)", ,"67909384"
"Line(03000)", ,"0"
"Line(03100)", ,"0"
"Line(03200)", ,"0"
"Line(03300)", ,"0"
"Line(03400)", ,"22469976"
"Line(04700)", ,"339892742"
"Line(04900)", ,"339892742"
"Line(05000)", ,"24154378"
"Line(05200)", ,"18473757"
"Line(05300)", ,"123001"
"Line(05400)", ,"138056"
"Line(05500)", ,"8513230"
"Line(05700)", ,"499724"
"Line(05800)", ,"149028"
"Line(05900)", ,"391943916"
"Line(06000)", ,"308881"
"Line(06100)", ,"391635035"
"Line(06200)", ,"13806906"
"Line(06300)", ,"2641985"
"Line(06400)", ,"2275277"
"Line(06500)", ,"1478930"
"Line(06600)", ,"1963391"
"Line(06700)", ,"376665074"
"Line(07000)","ER ADJ FROM PS&R"
"Line(07093)", ,"-562101"
"Line(07094)", ,"-1161128"
"Line(07100)", ,"374941845"
"Line(07101)", ,"3749418"
"Line(07200)", ,"364789562"
"Line(07400)", ,"6402865"
"Line(07500)", ,"9456675"
"Line(09000)", ,"22084478"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00A18B)", ,"E00A18B[00100]"
"Line(00100)", ,"238503"
"Line(00200)", ,"223623507"
"Line(00300)", ,"158513408"
"Line(00400)", ,"3169855"
"Line(00500)", ,"1"
"Line(00600)", ,"188961863"
"Line(00700)", ,"86"
"Line(00900)", ,"591390"
"Line(01100)", ,"238503"
"Line(01400)", ,"1092325"
"Line(01800)", ,"1092325"
"Line(01900)", ,"853822"
"Line(02100)", ,"238503"
"Line(02400)", ,"162274653"
"Line(02500)", ,"908"
"Line(02600)", ,"33193431"
"Line(02700)", ,"129318817"
"Line(02800)", ,"10177943"
"Line(03000)", ,"139496760"
"Line(03100)", ,"57731"
"Line(03200)", ,"139439029"
"Line(03400)", ,"4135624"
"Line(03500)", ,"2688156"
"Line(03600)", ,"3711482"
"Line(03700)", ,"142127185"
"Line(03800)", ,"-1105"
"Line(03900)", ,"-2"
"Line(04000)", ,"142128288"
"Line(04001)", ,"1421283"
"Line(04100)", ,"138943897"
"Line(04300)", ,"1763108"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E00B18B)", ,"E00B18B[00100]"
"Line(00200)", ,"408"
"Line(00300)", ,"368"
"Line(02400)", ,"368"
"Line(02600)", ,"112"
"Line(02700)", ,"256"
"Line(03000)", ,"256"
"Line(03200)", ,"256"
"Line(03700)", ,"256"
"Line(04000)", ,"256"
"Line(04001)", ,"3"
"Line(04100)", ,"256"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10A181)","E10A181[00000]","E10A181[00100]","E10A181[00200]","E10A181[00300]","E10A181[00400]"
"Line(00100)", , ,"366126066", ,"138215558"
"Line(00301)", , , ,"05/17/2013","824051"
"Line(00352)", ,"05/17/2013","1206875"
"Line(00353)", ,"10/18/2013","129629","10/18/2013","95712"
"Line(00399)", , ,"-1336504", ,"728339"
"Line(00400)", , ,"364789562", ,"138943897"
"Line(00700)", , ,"371192427", ,"140707005"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10A182)", ,"E10A182[00100]"
"Line(00100)", ,"45636"
"Line(00200)", ,"119269"
"Line(00300)", ,"11863"
"Line(00400)", ,"283839"
"Line(00500)", ,"2147483647"
"Line(00600)", ,"119650813"
"Line(00800)", ,"2995268"
"Line(00900)", ,"59905"
"Line(01000)", ,"2935363"
"Line(03000)", ,"2842969"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10B181)","E10B181[00000]","E10B181[00100]","E10B181[00200]", ,"E10B181[00400]"
"Line(00100)", , ,"3006437", ,"256"
"Line(00352)", ,"05/17/2013","12548"
"Line(00399)", , ,"-12548"
"Line(00400)", , ,"2993889", ,"256"
"Line(00602)", , , , ,"3"
"Line(00700)", , ,"3033418", ,"253"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30A197)", ,"E30A197[00100]"
"Line(00100)", ,"56558998"
"Line(00700)", ,"56558998"
"Line(01800)", ,"56558998"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B182)","E30B182[00000]","E30B182[00100]"
"Line(00100)", ,"2851074"
"Line(00200)", ,"85248"
"Line(00300)", ,"98353"
"Line(00400)", ,"5"
"Line(00600)", ,"6"
"Line(00800)", ,"5"
"Line(00900)", ,"23"
"Line(01000)", ,"0"
"Line(01100)", ,"270108"
"Line(01200)", ,"3304783"
"Line(01600)", ,"3304783"
"Line(01800)", ,"3304783"
"Line(01900)", ,"178932"
"Line(02000)", ,"3125851"
"Line(02100)", ,"81658"
"Line(02200)", ,"3044193"
"Line(02600)", ,"3044193"
"Line(02800)", ,"19866"
"Line(03001)","OTHER ADJ PER PS&R"
"Line(03100)", ,"3064059"
"Line(03101)", ,"30641"
"Line(03200)", ,"2993889"
"Line(03400)", ,"39529"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"550"
"Line(00200)", ,"15"
"Line(00500)", ,"565"
"Line(00600)", ,"590"
"Line(00700)", ,"565"
"Line(00800)", ,"184","346","530"
"Line(00900)", ,"176","332","508"
"Line(01000)", , ,"11"
"Line(01100)", ,"176","342"
"Line(01200)", ,"181","338"
"Line(01300)", ,"171","353"
"Line(01400)", ,"176","345"
"Line(01600)", , ,"1"
"Line(01700)", ,"176","345"
"Line(01800)", ,"121035","114745"
"Line(01900)", ,"21290090","39635173","60925263"
"Line(02000)", ,"23"
"Line(02100)", ,"24"
"Line(02200)", ,"21"
"Line(02300)", ,"109152"
"Line(02400)", ,"2270367"
"Line(02500)", ,"63195630"
"Line(02600)", ,"122376","11863"
"Line(02700)", ,"292387","292387"
"Line(02800)", ,"0","0"
"Line(02900)", ,"26449962","2564036"
"Line(03000)", , ,"362298"
"Line(03100)", , , ,"28651700"
"Line(03200)", ,"16122"
"Line(03300)", ,"37790604"
"Line(03400)", ,"0"
"Line(03700)", ,"399091307"
"Line(03800)", ,"8513230"
"Line(04000)", ,"308881"
"Line(04100)", ,"407295656"
"Line(04200)", ,"224453808"
"Line(04300)", ,"57731"
"Line(04400)", ,"224396077"
"Line(04500)", ,"631691733"
"Line(04600)", ,"1"
"Line(04700)", ,"0"
"Line(04800)", ,"28651700"
"Line(04900)", ,"18473757"
""
""
