"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D200000)", , ,"D200000[00200]","D200000[00300]","D200000[00400]", ,"D200000[00600]","D200000[00700]", ,"D200000[00900]","D200000[01000]"
"Line(00100)", , ,"1146125"
"Line(00200)", , ,"1146125","114533","10", ,"830","17931", ,"8308","179489"
"Line(00301)", , , ,"19615", , ,"81","5816"
"Line(00302)", , , ,"34304", , , ,"9319"
"Line(00303)", , , ,"6904", , ,"118","1559"
"Line(00800)", , , ,"9701", , , ,"923"
"Line(00900)", , ,"1146125", , , , , , ,"8308","179489"
"Line(02000)", , ,"1146125"
"Line(02300)", , , ,"65271303", , ,"408109","6434335"
"Line(02301)", , , ,"68516997", , ,"3508","4308606"
"Line(02400)", , , ,"163175844", , ,"233665","14044063"
"Line(02500)", , , ,"16913802", , ,"76854","1647063"
"Line(02501)", , , ,"8435197", , , ,"834544"
