"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)", ,"G000000[00100]"
"Line(00100)", ,"23290739"
"Line(00400)", ,"299231206"
"Line(00500)", ,"72416083"
"Line(00600)", ,"-136708325"
"Line(00700)", ,"13959418"
"Line(00800)", ,"17730402"
"Line(00900)", ,"61535135"
"Line(01100)", ,"351454658"
"Line(01200)", ,"91868740"
"Line(01300)", ,"7203019"
"Line(01400)", ,"-2048138"
"Line(01500)", ,"956193743"
"Line(01600)", ,"-224353768"
"Line(01700)", ,"25834835"
"Line(01800)", ,"-16633264"
"Line(01900)", ,"679771101"
"Line(02000)", ,"-248463416"
"Line(02300)", ,"241114305"
"Line(02400)", ,"-269014137"
"Line(02500)", ,"225425698"
"Line(02600)", ,"-40385456"
"Line(02700)", ,"91112469"
"Line(02800)", ,"-45033831"
"Line(02900)", ,"30837315"
"Line(03000)", ,"1503429215"
"Line(03100)", ,"1865554757"
"Line(03400)", ,"117171333"
"Line(03500)", ,"1982726090"
"Line(03600)", ,"2147483647"
"Line(03700)", ,"46722208"
"Line(03800)", ,"71646905"
"Line(03900)", ,"5190346"
"Line(04100)", ,"3756565"
"Line(04400)", ,"45523040"
"Line(04500)", ,"172839064"
"Line(04700)", ,"674817016"
"Line(04900)", ,"85202679"
"Line(05000)", ,"760019695"
"Line(05100)", ,"932858759"
"Line(05200)", ,"2147483647"
"Line(05900)", ,"2147483647"
