"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)", ,"G000000[00100]"
"Line(00100)", ,"23290739"
"Line(00400)", ,"299231206"
"Line(00500)", ,"72416083"
"Line(00600)", ,"-136708325"
"Line(00700)", ,"13959418"
"Line(00800)", ,"17730402"
"Line(00900)", ,"61535135"
"Line(01100)", ,"351454658"
"Line(01200)", ,"91868740"
"Line(01300)", ,"7203019"
"Line(01400)", ,"-2048138"
"Line(01500)", ,"956193743"
"Line(01600)", ,"-224353768"
"Line(01700)", ,"25834835"
"Line(01800)", ,"-16633264"
"Line(01900)", ,"679771101"
"Line(02000)", ,"-248463416"
"Line(02300)", ,"241114305"
"Line(02400)", ,"-269014137"
"Line(02500)", ,"225425698"
"Line(02600)", ,"-40385456"
"Line(02700)", ,"91112469"
"Line(02800)", ,"-45033831"
"Line(02900)", ,"30837315"
"Line(03000)", ,"1503429215"
"Line(03100)", ,"1865554757"
"Line(03400)", ,"117171333"
"Line(03500)", ,"1982726090"
"Line(03600)", ,"2147483647"
"Line(03700)", ,"46722208"
"Line(03800)", ,"71646905"
"Line(03900)", ,"5190346"
"Line(04100)", ,"3756565"
"Line(04400)", ,"45523040"
"Line(04500)", ,"172839064"
"Line(04700)", ,"674817016"
"Line(04900)", ,"85202679"
"Line(05000)", ,"760019695"
"Line(05100)", ,"932858759"
"Line(05200)", ,"2147483647"
"Line(05900)", ,"2147483647"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G100000)", , ,"G100000[00200]"
"Line(00100)", , ,"2147483647"
"Line(00200)", , ,"78907928"
"Line(00300)", , ,"2147483647"
"Line(01100)", , ,"2147483647"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"336317322", ,"336317322"
"Line(01000)", ,"336317322", ,"336317322"
"Line(01101)", ,"110183800", ,"110183800"
"Line(01102)", ,"197801291", ,"197801291"
"Line(01103)", ,"48458978", ,"48458978"
"Line(01600)", ,"356444069", ,"356444069"
"Line(01700)", ,"692761391", ,"692761391"
"Line(01800)", ,"924581005","789012450","1713593455"
"Line(01900)", ,"34701727","291668096","326369823"
"Line(02300)", ,"358911","13166964","13525875"
"Line(02700)","OTHER PATIENT REVENUES (ORGAN ACQUIS","10517950", ,"10517950"
"Line(02701)","RESEARCH LINES 191 THROUGH 191.03","13649","945646","959295"
"Line(02702)","PER NHIC AUDIT MANAGER DURING 2002","718945","120149","839094"
"Line(02703)","RECLASS REMAINING OUTPATIENT ROTING","2796516","-2796516"
"Line(02704)","RELATES TO NON-ALLOWABLE DME  PATIE"
"Line(02705)","OFFSET NON-ALLOWABLE EPOGEN/ARANESP"
"Line(02706)","MEDICAID AND INDIGENT DRUG PROGRAM", ,"-3150436","-3150436"
"Line(02707)","COMMUNITY CLINICS","3315","2095138","2098453"
"Line(02800)", ,"1666453409","1091061491","2147483647"
"Line(02900)", , ,"1343635640"
"Line(03000)","CLEARING ACCOUNT HOSPL - ACCT 9999","18292"
"Line(03600)", , ,"18292"
"Line(03700)","PURCHASE DISCOUNT TAKEN - ACCT 9110","62257"
"Line(03800)","PURCHASE DISCOUNT LOST - ACCT 9111","-5670"
"Line(04200)", , ,"56587"
""
""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"1527828165"
"Line(00300)", ,"1229686735"
"Line(00400)", ,"1343597345"
"Line(00500)", ,"-113910610"
"Line(00600)", ,"31902678"
"Line(00700)", ,"1399392"
"Line(01200)", ,"8364761"
"Line(01700)", ,"1413511"
"Line(02000)", ,"349281"
"Line(02200)", ,"207300"
"Line(02400)","DSH REVENUE","16968851"
"Line(02401)","GRANTS","4780231"
"Line(02402)","INDIRECT EXPENSE REIMBURSEMENT","6329880"
"Line(02403)","VENDED SERVICES REVENUE","12768810"
"Line(02404)","NON PATIENT OPERATING INCOME","26397303"
"Line(02405)","CHGME FUNDS","8383005"
"Line(02406)","FOOD COURT REVENUE","3036195"
"Line(02407)","CLEAN CLAIMS","912611"
"Line(02408)","OTHER GOVERNMENT FUNDING","59916589"
"Line(02409)","HEALTH CENTER FEE","368357"
"Line(02410)","CONFERENCE REGISTRATION FEES","126729"
"Line(02411)","MISCELLANEOUS OTHER INCOME","914943"
"Line(02412)","OTHER RESEARCH REVENUE","1629200"
"Line(02413)","EQUIPMENT RENTAL","224781"
"Line(02500)", ,"186394408"
"Line(02600)", ,"72483798"
"Line(02700)","MISCELLANEOUS OTHER EXPENSE","-216972"
"Line(02701)","CONTRIBUTIONS TO OTHERS","7981736"
"Line(02702)","INVESTMENT EXPENSES","-14188894"
"Line(02800)", ,"-6424130"
""
""
