,,4095 (Cont.),,,FORM CMS 2552-10,,,,,08-11,,,,
,,,           ELECTRONIC REPORTING SPECIFICATIONS FOR FORM CMS 2552-10,,,,,,,,,,,
,,,                TABLE 5 - STANDARD COST CENTER DESCRIPTIONS AND CODES,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,CODE,USE,,,,CODE,USE,,,,
,,,,,,,,,,,,,,
,,     GENERAL SERVICE ,,,,,,     ANCILLARY SERVICE,,,,,,
,,        COST CENTERS ,,,,,,       COST CENTERS (Continued),,,,,,
,,,,,,,,,,,,,,
,,Cap Rel Costs-Bldg & Fixt,,00100,(50),,,Whole Blood & Packed Red Blood Cells,06200,(30),,,,
,,Cap Rel Costs-Mvble Equip,,00200,(50),,,"Blood Storing, Processing, & Trans.",06300,(30),,,,
,,Other Cap Related Cost,,00300,(01),,,Intravenous Therapy,06400,(30),,,,
,,Employee Benefits ,,00400,(20),,,Respiratory Therapy,06500,(30),,,,
,,Administrative & General,,00500,(40),,,Physical Therapy,06600,(30),,,,
,,Maintenance & Repairs ,,00600,(20),,,Occupational Therapy,06700,(30),,,,
,,Operation of Plant ,,00700,(20),,,Speech Pathology,06800,(30),,,,
,,Laundry & Linen Service,,00800,(20),,,Electro cardiology,06900,(30),,,,
,,Housekeeping ,,00900,(20),,,Electroencephalography,07000,(30),,,,
,,Dietary,,01000,(20),,,Medical Supplies Charged to Patients,07100,(30),,,,
,,Cafeteria,,01100,(20),,,Implantable Devices Charged to Patients,07200,(30),,,,
,,Maintenance of Personnel,,01200,(20),,,Drugs Charged to Patients,07300,(30),,,,
,,Nursing Administration,,01300,(20),,,Renal Dialysis,07400,(01),,,,
,,Central Services & Supply,,01400,(20),,,ASC (Non-Distinct Part),07500,(30),,,,
,,Pharmacy,,01500,(20),,,,,,,,,
,,Medical Records & Library,,01600,(20),,,     OUTPATIENT SERVICE,,,,,,
,,Social Service ,,01700,(20),,,          COST CENTERS,,,,,,
,,Nonphysician Anesthetists ,,01900,(20),,,,,,,,,
,,Nursing School ,,02000,(20),,,Rural Health Clinic (RHC),08800,(25),,,,
,,I&R Services-Salary & Fringes Apprvd,,02100,(20),,,Federally Qualified Health Center (FQHC),08900,(25),,,,
,,I&R Services-Other Prgm. Costs Apprvd,,02200,(20),,,Clinic ,09000,(99),,,,
,,Paramed. Ed. Prgm.-(specify),,02300,(100),,,Emergency ,09100,(20),,,,
,,,,,,,,Observation Beds (Non-Distinct Part),09200,(01),,,,
,,     INPATIENT ROUTINE SERVICE ,,,,,,,,,,,,
,,             COST CENTERS,,,,,,     OTHER REIMBURSABLE COST CENTERS,,,,,,
,,                                                 ,,,,,,,,,,,,
,,Adults & Pediatrics,,03000,(01),,,Home Program Dialysis,09400,(01),,,,
