"Report (A700001)", ,"A700001[00100]","A700001[00200]","A700001[00300]","A700001[00400]","A700001[00500]","A700001[00600]","A700001[00700]","A700001[00800]","A700001[00900]","A700001[01000]","A700001[01100]"
"Line(00000)", , , , , , ,"RECLASSIFIED", ,"NET EXPENSES"
"Line(00001)", ,"COST CENTER DESCRIPTIONS", , ,"TOTAL","RECLASSIFI-","TRIAL BALANCE", ,"FOR ALLOCATION"
"Line(00002)", ,"(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"Line(00003)", , ,"1","2","3","4","5","6","7"
"Line(00004)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00005)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00006)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00007)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00008)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00009)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00010)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00011)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00012)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00013)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00014)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00015)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00016)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00017)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00018)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00019)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00020)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00021)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00022)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00023)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00024)", ,"PART I - ANALYSIS OF CHANGES IN CAPITAL ASSET BALANCES"
"Line(00025)", , , , , ,"Acquisitions", , ,"Disposals", ,"Fully"
"Line(00026)", , , , ,"Beginning", , , ,"and","Ending","Depreciated"
"Line(00027)", , ,"Description", ,"Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
